event_id,track_idx,predicted_label,predicted_pdg
345.0,1.0,pion,211
346.0,0.0,proton,2212
346.0,1.0,proton,2212
347.0,0.0,muon,13
347.0,1.0,muon,13
348.0,0.0,proton,2212
348.0,1.0,muon,13
348.0,2.0,pion,211
349.0,0.0,muon,13
349.0,1.0,proton,2212
350.0,0.0,muon,13
350.0,1.0,pion,211
351.0,0.0,muon,13
351.0,1.0,other,0
352.0,0.0,pion,211
352.0,1.0,proton,2212
353.0,0.0,muon,13
353.0,1.0,electron,11
354.0,0.0,muon,13
354.0,1.0,other,0
355.0,0.0,other,0
355.0,1.0,other,0
356.0,0.0,muon,13
356.0,1.0,other,0
357.0,0.0,muon,13
357.0,1.0,pion,211
358.0,0.0,pion,211
358.0,1.0,pion,211
359.0,0.0,muon,13
359.0,1.0,proton,2212
360.0,0.0,muon,13
360.0,1.0,proton,2212
361.0,0.0,pion,211
361.0,1.0,other,0
362.0,0.0,proton,2212
362.0,1.0,electron,11
363.0,0.0,other,0
363.0,1.0,pion,211
364.0,0.0,muon,13
364.0,1.0,muon,13
364.0,2.0,proton,2212
365.0,0.0,muon,13
365.0,1.0,muon,13
366.0,0.0,muon,13
366.0,1.0,proton,2212
367.0,0.0,pion,211
367.0,1.0,pion,211
368.0,0.0,muon,13
368.0,1.0,proton,2212
369.0,0.0,muon,13
369.0,1.0,pion,211
370.0,0.0,other,0
370.0,1.0,other,0
371.0,0.0,other,0
371.0,1.0,pion,211
372.0,0.0,muon,13
372.0,1.0,proton,2212
372.0,2.0,pion,211
373.0,0.0,muon,13
373.0,1.0,muon,13
374.0,0.0,muon,13
374.0,1.0,pion,211
375.0,0.0,pion,211
375.0,1.0,pion,211
376.0,0.0,muon,13
376.0,1.0,muon,13
376.0,2.0,pion,211
377.0,0.0,pion,211
377.0,1.0,electron,11
378.0,0.0,pion,211
378.0,1.0,pion,211
379.0,0.0,muon,13
379.0,1.0,muon,13
380.0,0.0,muon,13
380.0,1.0,other,0
380.0,2.0,other,0
381.0,0.0,muon,13
381.0,1.0,muon,13
382.0,0.0,muon,13
382.0,1.0,muon,13
383.0,0.0,muon,13
383.0,1.0,proton,2212
384.0,0.0,pion,211
384.0,1.0,electron,11
385.0,0.0,other,0
385.0,1.0,pion,211
385.0,2.0,proton,2212
386.0,0.0,muon,13
386.0,1.0,other,0
387.0,0.0,muon,13
387.0,1.0,other,0
388.0,0.0,other,0
388.0,1.0,other,0
389.0,0.0,muon,13
389.0,1.0,muon,13
389.0,2.0,other,0
390.0,0.0,pion,211
390.0,1.0,pion,211
391.0,0.0,muon,13
391.0,1.0,proton,2212
392.0,0.0,proton,2212
392.0,1.0,electron,11
393.0,0.0,muon,13
393.0,1.0,pion,211
394.0,0.0,muon,13
394.0,1.0,proton,2212
395.0,0.0,pion,211
395.0,1.0,pion,211
396.0,0.0,other,0
396.0,1.0,pion,211
397.0,0.0,muon,13
397.0,1.0,muon,13
398.0,0.0,muon,13
398.0,1.0,proton,2212
399.0,0.0,electron,11
399.0,1.0,pion,211
400.0,0.0,pion,211
400.0,1.0,electron,11
400.0,2.0,other,0
401.0,0.0,muon,13
401.0,1.0,proton,2212
401.0,2.0,other,0
402.0,0.0,muon,13
402.0,1.0,muon,13
403.0,0.0,muon,13
403.0,1.0,electron,11
404.0,0.0,muon,13
404.0,1.0,proton,2212
405.0,0.0,pion,211
405.0,1.0,pion,211
406.0,0.0,muon,13
406.0,1.0,muon,13
407.0,0.0,proton,2212
407.0,1.0,proton,2212
408.0,0.0,muon,13
408.0,1.0,electron,11
409.0,0.0,pion,211
409.0,1.0,other,0
410.0,0.0,other,0
410.0,1.0,pion,211
411.0,0.0,other,0
411.0,1.0,other,0
412.0,0.0,muon,13
412.0,1.0,muon,13
412.0,2.0,proton,2212
413.0,0.0,muon,13
413.0,1.0,muon,13
414.0,0.0,other,0
414.0,1.0,other,0
415.0,0.0,muon,13
415.0,1.0,pion,211
416.0,0.0,muon,13
416.0,1.0,proton,2212
417.0,0.0,pion,211
417.0,1.0,pion,211
418.0,0.0,muon,13
418.0,1.0,muon,13
419.0,0.0,muon,13
419.0,1.0,muon,13
420.0,0.0,muon,13
420.0,1.0,pion,211
421.0,0.0,other,0
421.0,1.0,proton,2212
422.0,0.0,muon,13
422.0,1.0,pion,211
423.0,0.0,muon,13
423.0,1.0,proton,2212
424.0,0.0,other,0
424.0,1.0,pion,211
425.0,0.0,muon,13
425.0,1.0,proton,2212
426.0,0.0,other,0
426.0,1.0,muon,13
427.0,0.0,muon,13
427.0,1.0,proton,2212
428.0,0.0,muon,13
428.0,1.0,muon,13
429.0,0.0,electron,11
429.0,1.0,electron,11
430.0,0.0,muon,13
430.0,1.0,other,0
431.0,0.0,proton,2212
431.0,1.0,other,0
432.0,0.0,other,0
432.0,1.0,pion,211
433.0,0.0,muon,13
433.0,1.0,other,0
434.0,0.0,muon,13
434.0,1.0,muon,13
435.0,0.0,muon,13
435.0,1.0,proton,2212
436.0,0.0,proton,2212
436.0,1.0,electron,11
437.0,0.0,muon,13
437.0,1.0,pion,211
438.0,0.0,muon,13
438.0,1.0,other,0
438.0,2.0,other,0
439.0,0.0,other,0
439.0,1.0,other,0
440.0,0.0,muon,13
440.0,1.0,proton,2212
441.0,0.0,electron,11
441.0,1.0,other,0
442.0,0.0,pion,211
442.0,1.0,other,0
443.0,0.0,pion,211
443.0,1.0,other,0
444.0,0.0,muon,13
444.0,1.0,muon,13
445.0,0.0,muon,13
445.0,1.0,muon,13
446.0,0.0,muon,13
446.0,1.0,proton,2212
447.0,0.0,muon,13
447.0,1.0,other,0
448.0,0.0,muon,13
448.0,1.0,muon,13
448.0,2.0,proton,2212
449.0,0.0,proton,2212
449.0,1.0,other,0
450.0,0.0,muon,13
450.0,1.0,other,0
451.0,0.0,other,0
451.0,1.0,other,0
452.0,0.0,other,0
452.0,1.0,other,0
453.0,0.0,electron,11
453.0,1.0,proton,2212
454.0,0.0,other,0
454.0,1.0,pion,211
455.0,0.0,muon,13
455.0,1.0,muon,13
456.0,0.0,pion,211
456.0,1.0,other,0
457.0,0.0,muon,13
457.0,1.0,proton,2212
458.0,0.0,muon,13
458.0,1.0,proton,2212
459.0,0.0,muon,13
459.0,1.0,pion,211
460.0,0.0,proton,2212
460.0,1.0,other,0
461.0,0.0,muon,13
461.0,1.0,muon,13
462.0,0.0,other,0
462.0,1.0,proton,2212
463.0,0.0,electron,11
463.0,1.0,proton,2212
464.0,0.0,muon,13
464.0,1.0,proton,2212
465.0,0.0,muon,13
465.0,1.0,other,0
466.0,0.0,proton,2212
466.0,1.0,pion,211
467.0,0.0,muon,13
467.0,1.0,pion,211
468.0,0.0,muon,13
468.0,1.0,proton,2212
469.0,0.0,muon,13
469.0,1.0,pion,211
470.0,0.0,proton,2212
470.0,1.0,other,0
471.0,0.0,muon,13
471.0,1.0,other,0
472.0,0.0,muon,13
472.0,1.0,proton,2212
473.0,0.0,muon,13
473.0,1.0,muon,13
474.0,0.0,muon,13
474.0,1.0,proton,2212
475.0,0.0,other,0
475.0,1.0,other,0
476.0,0.0,muon,13
476.0,1.0,proton,2212
477.0,0.0,muon,13
477.0,1.0,muon,13
478.0,0.0,muon,13
478.0,1.0,other,0
479.0,0.0,muon,13
479.0,1.0,proton,2212
480.0,0.0,muon,13
480.0,1.0,proton,2212
480.0,2.0,other,0
481.0,0.0,muon,13
481.0,1.0,other,0
482.0,0.0,electron,11
482.0,1.0,other,0
483.0,0.0,electron,11
483.0,1.0,other,0
484.0,0.0,other,0
484.0,1.0,pion,211
484.0,2.0,pion,211
485.0,0.0,muon,13
485.0,1.0,pion,211
486.0,0.0,muon,13
486.0,1.0,pion,211
487.0,0.0,muon,13
487.0,1.0,muon,13
488.0,0.0,muon,13
488.0,1.0,proton,2212
489.0,0.0,muon,13
489.0,1.0,pion,211
490.0,0.0,proton,2212
490.0,1.0,muon,13
490.0,2.0,pion,211
491.0,0.0,pion,211
491.0,1.0,pion,211
492.0,0.0,muon,13
492.0,1.0,proton,2212
493.0,0.0,muon,13
493.0,1.0,muon,13
494.0,0.0,pion,211
494.0,1.0,pion,211
494.0,2.0,pion,211
495.0,0.0,pion,211
495.0,1.0,pion,211
496.0,0.0,muon,13
496.0,1.0,proton,2212
497.0,0.0,muon,13
497.0,1.0,muon,13
497.0,2.0,muon,13
498.0,0.0,muon,13
498.0,1.0,pion,211
499.0,0.0,muon,13
499.0,1.0,proton,2212
500.0,0.0,pion,211
500.0,1.0,pion,211
500.0,2.0,pion,211
501.0,0.0,pion,211
501.0,1.0,pion,211
502.0,0.0,muon,13
502.0,1.0,proton,2212
503.0,0.0,pion,211
503.0,1.0,pion,211
504.0,0.0,muon,13
504.0,1.0,other,0
505.0,0.0,muon,13
505.0,1.0,pion,211
506.0,0.0,electron,11
506.0,1.0,other,0
507.0,0.0,pion,211
507.0,1.0,electron,11
