event_id,x_reco_ml,y_reco_ml,z_reco_ml,nLinesU,nLinesV
237,-389.84702871866415,-1377.3908526092998,14696.807767054477,2,3
238,-146.72244722335276,-1879.3083800124136,11762.516195619442,2,2
239,542.0384282660608,-1188.6298798848989,14963.648667784391,2,2
240,911.1953809211569,-613.6306485297657,11970.557922529422,3,2
241,1847.874018268742,-825.2986612872537,12255.608506601731,2,3
242,2653.4675090987666,-663.8986605103335,12422.926864125402,4,3
243,-805.5451434389137,-1294.1720779593945,12438.379208108046,3,3
244,-1562.708341014401,-1707.4172662775768,12962.616627338708,2,2
245,-798.1639707383785,-1124.458543088667,15830.773902161294,3,3
246,585.4596975149213,-695.6938374409416,12794.274003882976,2,2
247,-695.094994114513,-508.949442739398,12381.047412873282,2,2
248,1722.9871646498095,-455.77533557988164,12252.533436586667,3,3
249,-2751.5661181304727,-1663.7999902086242,12781.675791635924,4,2
250,-769.3626904177953,-2065.5296695948814,11699.460565645999,2,2
251,2468.324340416291,-2265.197792620856,13596.216361146486,2,3
252,737.8428797448644,-1598.601107717279,12653.067078150261,3,2
253,-544.3598626897872,-1394.084439898782,13448.762688191098,3,3
254,2054.938459037915,-1689.899736734758,15239.096673276037,3,3
255,-2630.7626387105506,-761.1670084103181,12186.833630293588,2,2
256,2171.7354645336154,-675.2613806476691,12907.482734703826,2,2
257,1191.3481359584948,-1393.888933327316,12017.344182806917,4,3
258,-257.1771799764951,-1736.9782600456285,12681.65247710057,2,2
259,-929.5780348306517,-1085.7102115982818,13975.437077938215,3,3
260,-2623.5558425174268,-1429.81927745717,13003.731552740759,4,5
261,1740.3140270834738,-1717.6663489602156,14209.441551104244,2,3
262,-566.3229510240235,-1346.789020639464,13608.137067127444,4,3
263,1269.2893928062435,-754.070639156026,14852.154274373,3,3
264,2526.2640396435695,-1539.5501580866046,12433.714479345532,2,2
265,-671.0041579486145,-1834.9326579772405,11756.330705182281,2,2
266,-1666.818466072567,-1607.656922701484,14267.357246579595,2,2
267,-1578.177583047602,-1338.255399342455,12053.094367566158,4,3
268,-393.5740217588531,-1641.3381447172849,14713.46768743765,2,3
269,-1538.0350620069103,-1671.1653873545872,15114.169761566496,3,2
270,-1007.9882170207851,-2079.174929766151,13230.011422320373,2,3
271,-945.078324935516,-1398.5276933557882,12316.456773845115,2,2
272,-1263.0314948191933,-752.030854181612,15553.842641286832,3,4
273,-380.9540098539096,-1815.616457513966,14420.961857481463,2,3
274,-2643.364367552645,-1919.4584002740874,15177.389403676712,2,2
275,544.7313634773743,-882.7297397087887,13850.125665102207,2,2
276,1859.1004820304076,-2066.8558542583473,11884.759290690072,3,2
277,-21.104192090214198,-874.7797065384893,12679.06413136064,2,2
278,753.8728204124457,-1652.5331231988619,12333.205623796148,2,4
279,713.1444863748986,-1525.1973458606017,16103.235921679992,2,2
280,-196.45164610397723,-1014.8563883612297,12984.68227772869,3,6
281,1168.6730470358957,-846.5264101842424,14186.707321718211,2,2
282,-626.9263087070412,-806.538612165964,12627.57428288458,2,3
283,-2595.7198439373187,-1666.9179042561395,12413.698164414194,3,3
284,-1157.367723992114,-767.0773012936401,14043.631102804457,3,2
285,-950.5390832451276,-819.5218407107309,13484.548542598362,2,2
286,-1477.2366977419251,-883.9123793356272,13016.4007984474,2,3
287,1437.1259194071565,-933.0806304185096,12741.441027845589,3,2
288,-247.5149218392795,-1210.150840340406,13378.317897305586,5,6
289,1156.1711024522804,-1204.783376916677,14065.876137862395,2,2
290,-377.3365529729966,-974.1982070679055,12197.588982101055,2,3
291,85.6728562400157,-1809.556216717688,13537.574619958777,3,4
292,-1545.803144933626,-495.629199367942,12810.311700233882,2,2
293,2386.038265591541,-2038.7667609867487,13649.11107587188,2,2
294,1760.1021347707726,-1386.949169868887,16113.185705704103,2,3
295,-327.9404091836037,-1024.0508751285763,14758.408941839609,4,4
296,2562.9872279811116,-957.0740623309493,12623.785308091923,2,2
297,-632.1162274061976,-1677.088394610886,14145.797842314305,2,2
298,580.7266463333765,-760.187965792372,12641.18739941128,3,3
299,805.360514838484,-1817.7500409024394,13698.770551642052,5,3
300,-1917.5005908674145,-1159.132771532416,14317.140938960754,2,2
301,566.6484626768802,-1255.4276308146848,14464.169622915817,2,2
302,-518.834718393666,-698.7745481998246,12544.282419046904,2,2
303,1391.8808846116362,-1216.4202197070517,12363.523463887843,2,2
304,827.1144077163237,-880.4702478389582,12942.987523889087,2,3
305,2407.444044589083,-1682.1355683347872,16291.300142469367,2,2
306,-1542.7800236574392,-1701.6601623373742,12398.767497699204,2,3
307,-705.7323452376659,-768.1274000305616,13800.841939524145,2,2
308,713.1444863748986,-1628.4727339560516,15531.257650489875,2,2
309,-1571.433338047606,-1196.5360069038788,12005.187963539183,2,2
310,1280.9109944914537,-910.7881729479992,16036.502692303207,2,4
311,-258.9329331916171,-1760.0118792335725,14914.57832158807,3,4
312,-955.7511847925643,-507.69097828698034,12986.128379122985,2,2
313,-1731.5579378929929,-507.0274770372825,11684.263594478283,2,2
314,-813.6416119189124,-1218.1156021662266,13598.002739223764,2,2
315,1409.7122669531263,-1326.0759626779757,15107.317989997904,3,2
316,-486.0775703082138,-998.0772351468204,15140.047327046415,3,3
317,1367.308718517354,-696.7233051461714,12477.602363144197,3,4
318,-1100.8028936417206,-1085.8327785890112,13533.81073915561,3,2
319,-1922.575738582817,-1028.0106953637185,13035.508355600727,2,2
320,-1021.6995846599368,-976.8274408112424,13017.745752446492,2,2
321,400.430915085438,-1357.9807870965103,14633.459699693629,2,2
322,-1642.131999667662,-774.5196276446783,12319.931304278662,4,4
323,-2082.7077761617124,-511.7892852178196,12835.86038185534,2,3
324,-2751.5661181304727,-1924.4928408849696,12712.990635951262,2,2
325,1538.7471381857272,-1208.0734513146056,12166.336234581926,2,3
326,-1609.3693322969093,-1103.646680673673,15196.473605960662,5,3
327,-794.5135300380344,-1577.5412820383253,13907.619407838223,2,3
328,620.5548542641167,-903.7230598089487,12069.272366873329,2,2
329,776.4660325780255,-1437.9252665790727,12013.135425711216,3,3
330,-2025.723208328679,-798.1808007087222,12353.337583117982,2,2
331,-2681.310649808749,-2326.628927083472,11768.745067006947,4,2
332,-736.0685088234707,-1672.3787029477567,12907.538493888109,2,2
333,-736.0685088234707,-1589.1717900200601,12703.357611761097,2,2
