event_id,x_reco,y_reco,z_reco,multiplicity,mean_start_dist,mean_dca,max_dca,avg_length,avg_nhits,avg_energy,avg_dedx,max_opening_angle,mean_opening_angle,min_dist_to_true,label
59,627.0198769557695,1063.338665772032,14433.0,1,0.0,0.0,0.0,1410.9056396484375,22.0,49.01219367980957,0.03473810884477164,0.0,0.0,787.6079648544936,0
59,64.58719564208877,-2719.000497738318,15153.0,1,0.0,0.0,0.0,530.6227111816406,9.0,30.013011932373047,0.0565618683481098,0.0,0.0,592.6142098182937,0
60,1694.5507067314488,11740.290634259894,12715.5,1,0.0,0.0,0.0,196.12139129638672,7.5,16.21378517150879,0.0826721912603906,0.0,0.0,10587.364554296108,0
60,2002.4086340383903,579.2329103522789,12770.5,1,0.0,0.0,0.0,149.32443237304688,6.5,37.04240417480469,0.24806659959211644,0.0,0.0,633.6673779927338,0
60,687.8607126865327,-19959.347724385992,15633.0,1,0.0,0.0,0.0,593.6766967773438,10.0,29.390932083129883,0.049506629184997035,0.0,0.0,12996.954255463894,0
61,-712.3252609452016,-273.848943180915,12813.415486646623,2,176.80064717465993,79.63381530694178,79.63381530694201,1114.8128204345703,22.75,51.171870946884155,0.08047036305558175,70.8332662382607,70.8332662382607,886.1445425569356,0
62,-550.3635243055896,1910.0775007055224,12000.5,1,0.0,0.0,0.0,2061.4798583984375,41.0,96.2926254272461,0.04671043718179026,0.0,0.0,1554.582435810011,0
62,2026.3345031135736,166.1741958051898,14913.0,1,0.0,0.0,0.0,582.7357788085938,10.0,33.44995880126953,0.057401587507906485,0.0,0.0,412.7756807547333,0
63,-2211.0726983130294,1364.3672744741707,15873.0,1,0.0,0.0,0.0,732.8342590332031,10.0,17.37048101425171,0.02370315088321313,0.0,0.0,1057.0825381921807,0
63,-2027.1297112291295,2684.2285348460136,16033.0,1,0.0,0.0,0.0,481.68666076660156,8.0,18.664973258972168,0.03874920104548249,0.0,0.0,2083.5856893745467,0
64,588.1540132013265,-45297.00931472379,12825.5,1,0.0,0.0,0.0,201.7046890258789,9.0,36.43585014343262,0.1806395791758607,0.0,0.0,38155.63390494323,0
64,757.3244691281689,56021.9986017692,14353.0,1,0.0,0.0,0.0,697.9943542480469,11.5,26.30408477783203,0.037685240027721376,0.0,0.0,54928.51313469881,0
65,-2000.685584981736,2396.383093434691,16273.0,1,0.0,0.0,0.0,635.2580871582031,10.5,28.34021759033203,0.04461213192438155,0.0,0.0,1741.5202383565806,0
65,-3019.1845573203773,2027.3597740786354,14033.0,1,0.0,0.0,0.0,352.56964111328125,6.0,17.979281425476074,0.050994978945732024,0.0,0.0,1692.3587812458577,0
66,-512.8181939417748,1746.6714415115712,11945.5,1,0.0,0.0,0.0,535.6637725830078,15.5,28.052003860473633,0.052368678443951745,0.0,0.0,1219.867073475922,0
66,-619.487292050862,0.0,12385.5,1,0.0,0.0,0.0,361.2351837158203,12.0,17.64974880218506,0.04885944004853613,0.0,0.0,363.35851205792244,0
67,2591.7107036802936,-1047.3907355328092,11505.5,1,0.0,0.0,0.0,1507.7654418945312,33.5,72.69088363647461,0.04821100259808141,0.0,0.0,154.08866125143737,1
67,2697.4193214360807,-2165.646808061807,11560.5,1,0.0,0.0,0.0,118.64763641357422,6.5,9.114956855773926,0.07682375419600945,0.0,0.0,719.7176798261168,0
68,-902.189201619396,-82493.9530056433,14033.0,1,0.0,0.0,0.0,970.8371276855469,16.5,45.64459037780762,0.04701570333081848,0.0,0.0,75541.81709088132,0
68,-1753.8961837333827,56309.27026316422,16273.0,1,0.0,0.0,0.0,467.32521057128906,8.0,24.15161418914795,0.05168052919640999,0.0,0.0,54442.05770187409,0
