pdg,label,length,nhits,dca,angle,dist_to_vtx,z_depth,start_z,end_z,straightness,total_energy,dedx,length_rank,is_longest,z_depth_rank
13,muon,3044.951,41,819.2479187930784,160.71238321898124,2478.3240751985204,3020.0,13293.0,16313.0,3219.554731220347,88.04477,0.028915005,1,1,1
13,muon,1775.0936,24,819.2479187930772,162.74339524588692,2859.1791888287694,1175.0,12578.0,13753.0,25177.434479179105,70.00358,0.039436556,2,0,2
211,pion,1447.8337,24,75.92328252298938,160.94509037105058,851.5792678283951,1280.0,15353.0,16633.0,92631.79306610655,75.31311,0.05201779,2,0,2
22,other,1905.7897,14,75.92328252298991,7.335961205826095,731.726471977279,1680.0,15593.0,17273.0,7753.5903739983605,18.365837,0.009636865,1,1,1
13,muon,3353.1108,42,673.4082710413469,166.75847961767596,2485.1338236908364,3280.0,14393.0,17673.0,8275.285136994613,94.414734,0.028157355,1,1,1
13,muon,1445.0667,17,673.4082710413476,162.45802172838225,2383.9752601067557,1120.0,15113.0,16233.0,2985.6014707964937,49.57394,0.034305643,2,0,2
13,muon,1743.3091,21,1054.8435098898206,20.462862005366464,3092.6387075449584,1440.0,15593.0,17033.0,8915.406377172902,61.478577,0.03526545,2,0,1
-211,pion,1168.062,15,842.1958743476991,25.673488668416123,1796.4438356755586,825.0,12688.0,13513.0,10532.546243593535,32.427574,0.02776186,3,0,2
-211,pion,2372.3955,14,778.3372310375307,38.22898339547602,1265.5652110667268,660.0,12743.0,13403.0,4381.397535736249,79.78204,0.033629317,1,1,3
13,muon,5434.283,75,124.3350254849641,141.25866279454988,771.9009955609819,5225.0,12688.0,17913.0,62512.9854886824,161.57053,0.02973171,1,1,1
2212,proton,919.72565,17,124.33502548496388,6.991386524285126,422.62021763189415,880.0,12633.0,13513.0,2633.8272714621503,62.128227,0.06755082,2,0,2
13,muon,5566.0815,81,1155.5694848787657,70.9472550873373,1374.7954357483097,5380.0,11973.0,17353.0,5172.278427361765,205.32234,0.03688813,1,1,1
13,muon,1833.1945,20,1155.569484878765,162.39170828793888,3949.1223099046088,1440.0,14873.0,16313.0,7171.191033314884,66.89992,0.03649363,2,0,2
130,other,1794.9279,18,76.74226678464198,11.226397771122285,757.5660239091642,1600.0,15833.0,17433.0,21860.890257931565,30.894674,0.01721221,1,1,1
2112,other,1666.0814,14,76.74226678464353,2.478625403801372,1334.3530251463374,880.0,15993.0,16873.0,29553.60841134179,36.439144,0.021871166,2,0,2
2212,proton,874.9127,18,438.98435190698603,3.977830325253718,4544.131260864317,795.0,12798.0,13593.0,47344.26295361959,72.871704,0.08329026,2,0,2
13,muon,1665.4479,22,438.9843519069862,175.36772991065584,5837.163493529534,1600.0,14313.0,15913.0,3664.965173399789,46.30401,0.027802737,1,1,1
13,muon,1627.6812,20,707.9207632564285,31.388706513501212,1372.6607479273334,1440.0,16233.0,17673.0,1519.6484213336687,49.168343,0.0302076,1,1,1
13,muon,939.6507,13,707.9207632564281,18.93682199896734,2056.7047298636385,880.0,13993.0,14873.0,84005.85311683804,38.29565,0.040755197,2,0,2
22,other,2748.6003,32,42.05083883933355,2.0922175775000236,2483.0567738860886,2050.0,11863.0,13913.0,46645.259562029794,59.74048,0.021734873,1,1,1
-211,pion,1450.4314,24,42.050838839333416,177.87873559731293,1181.064222649823,1450.0,12303.0,13753.0,10705.532453735774,35.148415,0.024233077,2,0,2
13,muon,4952.31,67,124.56704998581174,149.20595980078704,337.72205219927497,4435.0,11478.0,15913.0,23686.467669415477,145.38176,0.029356353,1,1,1
22,other,1389.6489,14,124.56704998581111,9.299200652045826,842.1408847985325,605.0,11478.0,12083.0,2557.2053473423953,23.14008,0.016651746,2,0,2
13,muon,2401.0425,34,1057.6181443946937,13.957465232264434,4099.4261863989095,2400.0,13993.0,16393.0,4248.088263216197,93.70698,0.03902762,1,1,1
13,muon,1664.0059,18,1057.618144394693,160.40197322519572,2733.8340491033687,1120.0,16233.0,17353.0,35363.38355887978,51.580093,0.030997543,2,0,2
13,muon,3323.08,53,143.27858812053293,53.80371890669164,566.0326844230724,3305.0,11808.0,15113.0,41807.68960920849,178.69922,0.053775176,1,1,1
-211,pion,1297.8801,27,143.278588120533,13.897488270540515,409.65855756893654,1155.0,11863.0,13018.0,35704.36707084981,128.43349,0.098956354,2,0,2
13,muon,1225.3818,20,80.50728254262737,51.518791957771455,573.9408361838073,1215.0,13018.0,14233.0,53759.93788312319,30.593058,0.024966143,1,1,1
2112,other,817.5604,13,80.50728254262702,4.901594910736101,800.4245274686763,680.0,13073.0,13753.0,23944.27845497236,20.23115,0.024745755,2,0,2
13,muon,5752.087,76,138.05357088914903,5.261126038960426,997.2418824447807,5525.0,12468.0,17993.0,8365.634650182003,229.93675,0.039974492,1,1,1
13,muon,1741.9073,24,138.0535708891492,14.928601241952581,1364.4684317165031,1200.0,12633.0,13833.0,29649.288334135956,79.87853,0.045856934,2,0,2
13,muon,1641.0023,22,1344.435534851682,151.17885993084008,2837.840474045512,1600.0,15273.0,16873.0,2440.354821327623,63.650555,0.038787607,1,1,1
-211,pion,1498.9446,18,1344.4355348516824,52.52839874325959,1798.9640987629282,660.0,11698.0,12358.0,16287.776333687307,70.43976,0.046992905,2,0,2
211,pion,1405.4978,24,584.9187012511949,8.174017863070619,3486.1457342826798,1360.0,14793.0,16153.0,3506.285143507565,28.700645,0.02042027,2,0,2
22,other,1590.1099,11,584.9187012511948,172.2550222102997,4226.1895437698295,1440.0,14793.0,16233.0,42056.30981436356,38.447754,0.024179306,1,1,1
13,muon,6409.773,88,69.01690674134136,165.5450949754489,951.9598468040613,6160.0,11753.0,17913.0,68814.53896164133,176.32352,0.027508544,1,1,1
