pdg,is_muon,length,nhits,dca,angle,z_depth,straightness,total_energy,dedx
2112,0,1709.5231,24,147.14130559004,78.05094551795163,1600.0,27962.184687375033,65.03093,0.038040392
130,0,2750.6106,21,134.24012094685045,115.49795713654504,2240.0,12828.206053129545,22.1226,0.0080427965
13,1,6294.2695,80,244.25629669058011,76.29139860590662,5905.0,87594.86930276996,157.38235,0.02500407
13,1,2680.0874,35,29.5448225731728,124.69217130031801,2560.0,10328.9779016917,96.84789,0.036136094
13,1,2043.5038,34,97.81915720276479,132.4081048448536,1870.0,5241.150582167662,73.25904,0.03584972
-211,0,1181.51,13,352.88326375094965,18.048456427959437,605.0,4731.745340117848,10.797762,0.009138951
13,1,2922.67,34,127.99005765713667,84.99140329817499,2640.0,10163.345167302628,93.023315,0.0318282
2212,0,1866.7916,13,233.96825260791377,25.72784748830667,1040.0,6742.761683927185,22.777973,0.012201669
-13,1,1787.4581,20,137.34335183880458,119.80211735313317,1680.0,323.21749434077157,46.831627,0.026200125
2112,0,1671.447,19,300.19801316147453,92.31153303340217,1600.0,8693.730215311361,53.818752,0.0321989
13,1,1752.0253,31,296.23099136441124,64.81654300737361,1455.0,9879.906735488074,59.10264,0.033733897
211,0,1027.2001,19,82.41578648936375,89.29843470999724,935.0,11501.041777087237,31.688345,0.030849243
2212,0,1199.5289,15,238.84568677919546,59.853676706221975,1120.0,222.16335744739743,57.553387,0.047979992
13,1,1582.5789,17,669.2426583660598,124.56176080052045,1360.0,3907.6611864516976,45.482914,0.028739747
13,1,625.5882,12,2199.2762396823346,153.06644761983063,605.0,130.58823936548103,62.84698,0.100460626
2212,0,1008.0272,12,8.321737412650162,50.96701472282293,650.0,2216.7208450461153,67.51711,0.06697945
211,0,1446.0992,14,53.787397049222214,34.63394163594694,1200.0,928.1937757271653,29.824003,0.02062376
211,0,715.52057,9,102.64269046867145,154.67919935889032,480.0,14795.160115324488,21.539272,0.03010294
13,1,5407.6133,75,210.25402277466708,94.84621091016793,5395.0,12358.315416180814,180.44754,0.033369165
13,1,874.83484,12,289.9445592873195,113.07849887797731,720.0,1224.1517671532067,26.69079,0.030509518
13,1,3525.2603,38,175.49571948186798,79.67796102153446,3280.0,34877.233251752754,96.244286,0.027301328
211,0,723.46704,12,59.996552787826985,129.30713656323968,720.0,178.27675730780336,17.860851,0.024687858
